"indepCut","depCut","model","cutpoint","beta","N","clsize"
0.45,0.45,"A",0.5,0.693147180559945,100,4
0.59,0.59,"A",0.5,0.693147180559945,100,4
0.47,0.47,"A",0.5,0.693147180559945,100,4
0.43,0.43,"A",0.5,0.693147180559945,100,4
0.55,0.55,"A",0.5,0.693147180559945,100,4
0.45,0.45,"A",0.5,0.693147180559945,100,4
0.45,0.45,"A",0.5,0.693147180559945,100,4
0.49,0.49,"A",0.5,0.693147180559945,100,4
0.45,0.45,"A",0.5,0.693147180559945,100,4
0.49,0.49,"A",0.5,0.693147180559945,100,4
0.59,0.59,"A",0.5,0.693147180559945,100,4
0.49,0.47,"A",0.5,0.693147180559945,100,4
0.75,0.49,"A",0.5,0.693147180559945,100,4
0.07,0.49,"A",0.5,0.693147180559945,100,4
0.47,0.47,"A",0.5,0.693147180559945,100,4
0.79,0.79,"A",0.5,0.693147180559945,100,4
0.59,0.59,"A",0.5,0.693147180559945,100,4
0.51,0.51,"A",0.5,0.693147180559945,100,4
0.53,0.53,"A",0.5,0.693147180559945,100,4
0.41,0.53,"A",0.5,0.693147180559945,100,4
0.49,0.49,"A",0.5,0.693147180559945,100,4
0.53,0.53,"A",0.5,0.693147180559945,100,4
0.59,0.59,"A",0.5,0.693147180559945,100,4
0.53,0.47,"A",0.5,0.693147180559945,100,4
0.51,0.51,"A",0.5,0.693147180559945,100,4
0.49,0.49,"A",0.5,0.693147180559945,100,4
0.51,0.53,"A",0.5,0.693147180559945,100,4
0.51,0.47,"A",0.5,0.693147180559945,100,4
0.59,0.59,"A",0.5,0.693147180559945,100,4
0.47,0.47,"A",0.5,0.693147180559945,100,4
0.59,0.57,"A",0.5,0.693147180559945,100,4
0.55,0.49,"A",0.5,0.693147180559945,100,4
0.47,0.53,"A",0.5,0.693147180559945,100,4
0.29,0.29,"A",0.5,0.693147180559945,100,4
0.55,0.51,"A",0.5,0.693147180559945,100,4
0.55,0.55,"A",0.5,0.693147180559945,100,4
0.51,0.51,"A",0.5,0.693147180559945,100,4
0.55,0.55,"A",0.5,0.693147180559945,100,4
0.59,0.59,"A",0.5,0.693147180559945,100,4
0.53,0.53,"A",0.5,0.693147180559945,100,4
0.51,0.69,"A",0.5,0.693147180559945,100,4
0.51,0.51,"A",0.5,0.693147180559945,100,4
0.63,0.39,"A",0.5,0.693147180559945,100,4
0.53,0.55,"A",0.5,0.693147180559945,100,4
0.83,0.83,"A",0.5,0.693147180559945,100,4
0.55,0.53,"A",0.5,0.693147180559945,100,4
0.51,0.51,"A",0.5,0.693147180559945,100,4
0.53,0.47,"A",0.5,0.693147180559945,100,4
0.53,0.53,"A",0.5,0.693147180559945,100,4
0.83,0.71,"A",0.5,0.693147180559945,100,4
