"indepCut","depCut","model","cutpoint","beta","N","clsize"
0.11,0.11,"A",0.3,0.693147180559945,100,4
0.31,0.31,"A",0.3,0.693147180559945,100,4
0.27,0.27,"A",0.3,0.693147180559945,100,4
0.43,0.43,"A",0.3,0.693147180559945,100,4
0.17,0.19,"A",0.3,0.693147180559945,100,4
0.35,0.35,"A",0.3,0.693147180559945,100,4
0.35,0.33,"A",0.3,0.693147180559945,100,4
0.31,0.31,"A",0.3,0.693147180559945,100,4
0.23,0.25,"A",0.3,0.693147180559945,100,4
0.31,0.31,"A",0.3,0.693147180559945,100,4
0.09,0.09,"A",0.3,0.693147180559945,100,4
0.25,0.25,"A",0.3,0.693147180559945,100,4
0.05,0.11,"A",0.3,0.693147180559945,100,4
0.07,0.07,"A",0.3,0.693147180559945,100,4
0.47,0.47,"A",0.3,0.693147180559945,100,4
0.23,0.79,"A",0.3,0.693147180559945,100,4
0.73,0.71,"A",0.3,0.693147180559945,100,4
0.25,0.17,"A",0.3,0.693147180559945,100,4
0.35,0.35,"A",0.3,0.693147180559945,100,4
0.37,0.37,"A",0.3,0.693147180559945,100,4
0.25,0.25,"A",0.3,0.693147180559945,100,4
0.47,0.47,"A",0.3,0.693147180559945,100,4
0.99,0.31,"A",0.3,0.693147180559945,100,4
0.25,0.25,"A",0.3,0.693147180559945,100,4
0.33,0.33,"A",0.3,0.693147180559945,100,4
0.35,0.29,"A",0.3,0.693147180559945,100,4
0.53,0.53,"A",0.3,0.693147180559945,100,4
0.33,0.33,"A",0.3,0.693147180559945,100,4
0.29,0.31,"A",0.3,0.693147180559945,100,4
0.33,0.33,"A",0.3,0.693147180559945,100,4
0.31,0.31,"A",0.3,0.693147180559945,100,4
0.31,0.31,"A",0.3,0.693147180559945,100,4
0.37,0.37,"A",0.3,0.693147180559945,100,4
0.29,0.29,"A",0.3,0.693147180559945,100,4
0.35,0.37,"A",0.3,0.693147180559945,100,4
0.29,0.29,"A",0.3,0.693147180559945,100,4
0.23,0.81,"A",0.3,0.693147180559945,100,4
0.61,0.55,"A",0.3,0.693147180559945,100,4
0.39,0.39,"A",0.3,0.693147180559945,100,4
0.29,0.29,"A",0.3,0.693147180559945,100,4
0.27,0.27,"A",0.3,0.693147180559945,100,4
0.33,0.33,"A",0.3,0.693147180559945,100,4
0.35,0.35,"A",0.3,0.693147180559945,100,4
0.31,0.31,"A",0.3,0.693147180559945,100,4
0.33,0.33,"A",0.3,0.693147180559945,100,4
0.45,0.45,"A",0.3,0.693147180559945,100,4
0.31,0.29,"A",0.3,0.693147180559945,100,4
0.25,0.25,"A",0.3,0.693147180559945,100,4
0.31,0.31,"A",0.3,0.693147180559945,100,4
0.23,0.23,"A",0.3,0.693147180559945,100,4
0.33,0.51,"A",0.3,0.693147180559945,100,4
0.15,0.15,"A",0.3,0.693147180559945,100,4
0.31,0.31,"A",0.3,0.693147180559945,100,4
0.31,0.31,"A",0.3,0.693147180559945,100,4
0.55,0.31,"A",0.3,0.693147180559945,100,4
0.33,0.33,"A",0.3,0.693147180559945,100,4
0.41,0.41,"A",0.3,0.693147180559945,100,4
0.25,0.25,"A",0.3,0.693147180559945,100,4
0.31,0.31,"A",0.3,0.693147180559945,100,4
0.45,0.45,"A",0.3,0.693147180559945,100,4
0.35,0.25,"A",0.3,0.693147180559945,100,4
0.31,0.47,"A",0.3,0.693147180559945,100,4
0.29,0.29,"A",0.3,0.693147180559945,100,4
0.67,0.67,"A",0.3,0.693147180559945,100,4
0.51,0.43,"A",0.3,0.693147180559945,100,4
0.35,0.35,"A",0.3,0.693147180559945,100,4
0.31,0.33,"A",0.3,0.693147180559945,100,4
0.31,0.31,"A",0.3,0.693147180559945,100,4
0.97,0.23,"A",0.3,0.693147180559945,100,4
0.31,0.31,"A",0.3,0.693147180559945,100,4
0.23,0.23,"A",0.3,0.693147180559945,100,4
0.31,0.31,"A",0.3,0.693147180559945,100,4
0.47,0.47,"A",0.3,0.693147180559945,100,4
0.29,0.29,"A",0.3,0.693147180559945,100,4
0.29,0.33,"A",0.3,0.693147180559945,100,4
0.31,0.31,"A",0.3,0.693147180559945,100,4
0.27,0.33,"A",0.3,0.693147180559945,100,4
0.57,0.57,"A",0.3,0.693147180559945,100,4
0.35,0.29,"A",0.3,0.693147180559945,100,4
0.31,0.31,"A",0.3,0.693147180559945,100,4
0.29,0.29,"A",0.3,0.693147180559945,100,4
0.31,0.31,"A",0.3,0.693147180559945,100,4
0.31,0.31,"A",0.3,0.693147180559945,100,4
0.23,0.23,"A",0.3,0.693147180559945,100,4
0.31,0.31,"A",0.3,0.693147180559945,100,4
0.31,0.59,"A",0.3,0.693147180559945,100,4
0.31,0.31,"A",0.3,0.693147180559945,100,4
0.31,0.31,"A",0.3,0.693147180559945,100,4
0.29,0.29,"A",0.3,0.693147180559945,100,4
0.29,0.29,"A",0.3,0.693147180559945,100,4
0.31,0.31,"A",0.3,0.693147180559945,100,4
0.11,0.11,"A",0.3,0.693147180559945,100,4
0.67,0.39,"A",0.3,0.693147180559945,100,4
0.31,0.31,"A",0.3,0.693147180559945,100,4
0.23,0.23,"A",0.3,0.693147180559945,100,4
0.03,0.03,"A",0.3,0.693147180559945,100,4
0.31,0.31,"A",0.3,0.693147180559945,100,4
0.25,0.25,"A",0.3,0.693147180559945,100,4
0.31,0.31,"A",0.3,0.693147180559945,100,4
0.31,0.31,"A",0.3,0.693147180559945,100,4
0.33,0.33,"A",0.3,0.693147180559945,100,4
0.19,0.21,"A",0.3,0.693147180559945,100,4
0.39,0.37,"A",0.3,0.693147180559945,100,4
0.09,0.09,"A",0.3,0.693147180559945,100,4
0.31,0.35,"A",0.3,0.693147180559945,100,4
0.45,0.45,"A",0.3,0.693147180559945,100,4
0.23,0.23,"A",0.3,0.693147180559945,100,4
0.31,0.31,"A",0.3,0.693147180559945,100,4
0.17,0.17,"A",0.3,0.693147180559945,100,4
0.29,0.31,"A",0.3,0.693147180559945,100,4
0.25,0.25,"A",0.3,0.693147180559945,100,4
0.99,0.99,"A",0.3,0.693147180559945,100,4
0.69,0.69,"A",0.3,0.693147180559945,100,4
0.17,0.15,"A",0.3,0.693147180559945,100,4
0.31,0.31,"A",0.3,0.693147180559945,100,4
0.27,0.27,"A",0.3,0.693147180559945,100,4
0.35,0.35,"A",0.3,0.693147180559945,100,4
0.31,0.31,"A",0.3,0.693147180559945,100,4
0.29,0.27,"A",0.3,0.693147180559945,100,4
0.31,0.31,"A",0.3,0.693147180559945,100,4
0.35,0.35,"A",0.3,0.693147180559945,100,4
0.39,0.39,"A",0.3,0.693147180559945,100,4
0.25,0.25,"A",0.3,0.693147180559945,100,4
0.15,0.15,"A",0.3,0.693147180559945,100,4
0.83,0.83,"A",0.3,0.693147180559945,100,4
0.23,0.21,"A",0.3,0.693147180559945,100,4
0.23,0.25,"A",0.3,0.693147180559945,100,4
0.39,0.39,"A",0.3,0.693147180559945,100,4
0.31,0.31,"A",0.3,0.693147180559945,100,4
0.31,0.47,"A",0.3,0.693147180559945,100,4
0.29,0.29,"A",0.3,0.693147180559945,100,4
0.11,0.09,"A",0.3,0.693147180559945,100,4
0.33,0.33,"A",0.3,0.693147180559945,100,4
0.73,0.73,"A",0.3,0.693147180559945,100,4
0.33,0.59,"A",0.3,0.693147180559945,100,4
0.29,0.29,"A",0.3,0.693147180559945,100,4
0.33,0.33,"A",0.3,0.693147180559945,100,4
0.33,0.33,"A",0.3,0.693147180559945,100,4
0.91,0.91,"A",0.3,0.693147180559945,100,4
0.43,0.45,"A",0.3,0.693147180559945,100,4
0.27,0.27,"A",0.3,0.693147180559945,100,4
0.27,0.47,"A",0.3,0.693147180559945,100,4
0.37,0.37,"A",0.3,0.693147180559945,100,4
0.67,0.67,"A",0.3,0.693147180559945,100,4
0.59,0.55,"A",0.3,0.693147180559945,100,4
0.19,0.23,"A",0.3,0.693147180559945,100,4
0.31,0.31,"A",0.3,0.693147180559945,100,4
0.19,0.19,"A",0.3,0.693147180559945,100,4
0.37,0.37,"A",0.3,0.693147180559945,100,4
0.27,0.27,"A",0.3,0.693147180559945,100,4
0.27,0.27,"A",0.3,0.693147180559945,100,4
0.31,0.31,"A",0.3,0.693147180559945,100,4
0.31,0.31,"A",0.3,0.693147180559945,100,4
0.35,0.35,"A",0.3,0.693147180559945,100,4
0.33,0.33,"A",0.3,0.693147180559945,100,4
0.39,0.39,"A",0.3,0.693147180559945,100,4
0.39,0.37,"A",0.3,0.693147180559945,100,4
0.27,0.27,"A",0.3,0.693147180559945,100,4
0.31,0.31,"A",0.3,0.693147180559945,100,4
0.31,0.31,"A",0.3,0.693147180559945,100,4
0.31,0.31,"A",0.3,0.693147180559945,100,4
0.27,0.27,"A",0.3,0.693147180559945,100,4
0.33,0.33,"A",0.3,0.693147180559945,100,4
0.31,0.31,"A",0.3,0.693147180559945,100,4
0.21,0.21,"A",0.3,0.693147180559945,100,4
0.27,0.27,"A",0.3,0.693147180559945,100,4
0.41,0.19,"A",0.3,0.693147180559945,100,4
0.17,0.17,"A",0.3,0.693147180559945,100,4
0.33,0.17,"A",0.3,0.693147180559945,100,4
0.29,0.21,"A",0.3,0.693147180559945,100,4
0.15,0.15,"A",0.3,0.693147180559945,100,4
0.31,0.31,"A",0.3,0.693147180559945,100,4
0.17,0.17,"A",0.3,0.693147180559945,100,4
0.49,0.49,"A",0.3,0.693147180559945,100,4
0.27,0.31,"A",0.3,0.693147180559945,100,4
0.33,0.33,"A",0.3,0.693147180559945,100,4
0.25,0.27,"A",0.3,0.693147180559945,100,4
0.39,0.39,"A",0.3,0.693147180559945,100,4
0.33,0.41,"A",0.3,0.693147180559945,100,4
0.23,0.25,"A",0.3,0.693147180559945,100,4
0.31,0.33,"A",0.3,0.693147180559945,100,4
0.27,0.25,"A",0.3,0.693147180559945,100,4
0.25,0.31,"A",0.3,0.693147180559945,100,4
0.23,0.23,"A",0.3,0.693147180559945,100,4
0.29,0.53,"A",0.3,0.693147180559945,100,4
0.21,0.21,"A",0.3,0.693147180559945,100,4
0.29,0.29,"A",0.3,0.693147180559945,100,4
0.39,0.39,"A",0.3,0.693147180559945,100,4
0.31,0.31,"A",0.3,0.693147180559945,100,4
0.35,0.53,"A",0.3,0.693147180559945,100,4
0.13,0.19,"A",0.3,0.693147180559945,100,4
0.31,0.35,"A",0.3,0.693147180559945,100,4
0.93,0.93,"A",0.3,0.693147180559945,100,4
0.29,0.27,"A",0.3,0.693147180559945,100,4
0.33,0.31,"A",0.3,0.693147180559945,100,4
0.31,0.31,"A",0.3,0.693147180559945,100,4
0.35,0.37,"A",0.3,0.693147180559945,100,4
0.39,0.39,"A",0.3,0.693147180559945,100,4
0.61,0.51,"A",0.3,0.693147180559945,100,4
0.33,0.33,"A",0.3,0.693147180559945,100,4
0.37,0.39,"A",0.3,0.693147180559945,100,4
0.33,0.31,"A",0.3,0.693147180559945,100,4
0.27,0.27,"A",0.3,0.693147180559945,100,4
