"indepCut","depCut","model","cutpoint","beta","N","clsize"
0.31,0.31,"A",0.3,1.38629436111989,100,4
0.31,0.31,"A",0.3,1.38629436111989,100,4
0.27,0.27,"A",0.3,1.38629436111989,100,4
0.43,0.43,"A",0.3,1.38629436111989,100,4
0.31,0.31,"A",0.3,1.38629436111989,100,4
0.35,0.39,"A",0.3,1.38629436111989,100,4
0.33,0.33,"A",0.3,1.38629436111989,100,4
0.31,0.31,"A",0.3,1.38629436111989,100,4
0.29,0.29,"A",0.3,1.38629436111989,100,4
0.31,0.31,"A",0.3,1.38629436111989,100,4
0.09,0.11,"A",0.3,1.38629436111989,100,4
0.25,0.25,"A",0.3,1.38629436111989,100,4
0.31,0.31,"A",0.3,1.38629436111989,100,4
0.31,0.45,"A",0.3,1.38629436111989,100,4
0.35,0.35,"A",0.3,1.38629436111989,100,4
0.23,0.31,"A",0.3,1.38629436111989,100,4
0.31,0.31,"A",0.3,1.38629436111989,100,4
0.31,0.31,"A",0.3,1.38629436111989,100,4
0.35,0.35,"A",0.3,1.38629436111989,100,4
0.37,0.37,"A",0.3,1.38629436111989,100,4
0.29,0.29,"A",0.3,1.38629436111989,100,4
0.47,0.33,"A",0.3,1.38629436111989,100,4
0.31,0.31,"A",0.3,1.38629436111989,100,4
0.35,0.29,"A",0.3,1.38629436111989,100,4
0.31,0.31,"A",0.3,1.38629436111989,100,4
0.33,0.33,"A",0.3,1.38629436111989,100,4
0.29,0.29,"A",0.3,1.38629436111989,100,4
0.31,0.33,"A",0.3,1.38629436111989,100,4
0.31,0.31,"A",0.3,1.38629436111989,100,4
0.33,0.33,"A",0.3,1.38629436111989,100,4
0.31,0.31,"A",0.3,1.38629436111989,100,4
0.31,0.31,"A",0.3,1.38629436111989,100,4
0.33,0.33,"A",0.3,1.38629436111989,100,4
0.31,0.31,"A",0.3,1.38629436111989,100,4
0.29,0.37,"A",0.3,1.38629436111989,100,4
0.31,0.31,"A",0.3,1.38629436111989,100,4
0.29,0.39,"A",0.3,1.38629436111989,100,4
0.31,0.53,"A",0.3,1.38629436111989,100,4
0.33,0.39,"A",0.3,1.38629436111989,100,4
0.31,0.37,"A",0.3,1.38629436111989,100,4
0.31,0.27,"A",0.3,1.38629436111989,100,4
0.33,0.33,"A",0.3,1.38629436111989,100,4
0.31,0.35,"A",0.3,1.38629436111989,100,4
0.31,0.31,"A",0.3,1.38629436111989,100,4
0.33,0.33,"A",0.3,1.38629436111989,100,4
0.31,0.31,"A",0.3,1.38629436111989,100,4
0.31,0.31,"A",0.3,1.38629436111989,100,4
0.25,0.25,"A",0.3,1.38629436111989,100,4
0.31,0.31,"A",0.3,1.38629436111989,100,4
0.31,0.31,"A",0.3,1.38629436111989,100,4
0.33,0.33,"A",0.3,1.38629436111989,100,4
0.31,0.31,"A",0.3,1.38629436111989,100,4
0.31,0.31,"A",0.3,1.38629436111989,100,4
0.31,0.31,"A",0.3,1.38629436111989,100,4
0.31,0.31,"A",0.3,1.38629436111989,100,4
0.33,0.33,"A",0.3,1.38629436111989,100,4
0.31,0.31,"A",0.3,1.38629436111989,100,4
0.23,0.25,"A",0.3,1.38629436111989,100,4
0.31,0.31,"A",0.3,1.38629436111989,100,4
0.33,0.33,"A",0.3,1.38629436111989,100,4
0.31,0.31,"A",0.3,1.38629436111989,100,4
0.31,0.47,"A",0.3,1.38629436111989,100,4
0.29,0.29,"A",0.3,1.38629436111989,100,4
0.31,0.31,"A",0.3,1.38629436111989,100,4
0.43,0.43,"A",0.3,1.38629436111989,100,4
0.35,0.35,"A",0.3,1.38629436111989,100,4
0.31,0.31,"A",0.3,1.38629436111989,100,4
0.31,0.31,"A",0.3,1.38629436111989,100,4
0.29,0.29,"A",0.3,1.38629436111989,100,4
0.31,0.31,"A",0.3,1.38629436111989,100,4
0.29,0.29,"A",0.3,1.38629436111989,100,4
0.31,0.31,"A",0.3,1.38629436111989,100,4
0.31,0.33,"A",0.3,1.38629436111989,100,4
0.31,0.31,"A",0.3,1.38629436111989,100,4
0.33,0.33,"A",0.3,1.38629436111989,100,4
0.31,0.31,"A",0.3,1.38629436111989,100,4
0.33,0.33,"A",0.3,1.38629436111989,100,4
0.45,0.31,"A",0.3,1.38629436111989,100,4
0.31,0.35,"A",0.3,1.38629436111989,100,4
0.31,0.31,"A",0.3,1.38629436111989,100,4
0.29,0.29,"A",0.3,1.38629436111989,100,4
0.31,0.31,"A",0.3,1.38629436111989,100,4
0.31,0.31,"A",0.3,1.38629436111989,100,4
0.27,0.27,"A",0.3,1.38629436111989,100,4
0.31,0.31,"A",0.3,1.38629436111989,100,4
0.31,0.31,"A",0.3,1.38629436111989,100,4
