"treeIndep_inc","treeIndep_exc","treeDep_inc","treeDep_exc","treeIndep_acc","treeDep_acc","treeIndep_auc","treeDep_auc","model","beta1","beta2"
TRUE,FALSE,TRUE,FALSE,0.557,0.60125,0.590029711375212,0.596155560271647,"A",0.693147180559945,1.38629436111989
TRUE,FALSE,TRUE,FALSE,0.64025,0.64025,0.656873533802517,0.656873533802517,"A",0.693147180559945,1.38629436111989
TRUE,FALSE,TRUE,FALSE,0.632,0.632,0.655752687130614,0.667565650141405,"A",0.693147180559945,1.38629436111989
FALSE,FALSE,FALSE,FALSE,0.577,0.61625,0.582359516405251,0.623298399733069,"A",0.693147180559945,1.38629436111989
TRUE,FALSE,TRUE,TRUE,0.57525,0.61675,0.620325631366723,0.619822925509338,"A",0.693147180559945,1.38629436111989
TRUE,TRUE,TRUE,TRUE,0.605,0.605,0.59928199746875,0.59928199746875,"A",0.693147180559945,1.38629436111989
TRUE,TRUE,TRUE,TRUE,0.64,0.64,0.661204165572766,0.661204165572766,"A",0.693147180559945,1.38629436111989
TRUE,FALSE,FALSE,FALSE,0.635,0.56425,0.650835071800377,0.612497113807142,"A",0.693147180559945,1.38629436111989
TRUE,TRUE,TRUE,TRUE,0.6395,0.61275,0.668606786588153,0.653432685327095,"A",0.693147180559945,1.38629436111989
TRUE,TRUE,TRUE,TRUE,0.61075,0.616,0.656504716310376,0.633931567792306,"A",0.693147180559945,1.38629436111989
TRUE,FALSE,TRUE,FALSE,0.62675,0.62675,0.654782443576389,0.654782443576389,"A",0.693147180559945,1.38629436111989
TRUE,TRUE,TRUE,TRUE,0.6435,0.6435,0.666685465072562,0.666685465072562,"A",0.693147180559945,1.38629436111989
TRUE,FALSE,TRUE,FALSE,0.6385,0.6385,0.652858095317757,0.652858095317757,"A",0.693147180559945,1.38629436111989
TRUE,FALSE,TRUE,FALSE,0.59275,0.59275,0.628033551398253,0.628033551398253,"A",0.693147180559945,1.38629436111989
TRUE,TRUE,TRUE,TRUE,0.63125,0.63125,0.633398064629363,0.633398064629363,"A",0.693147180559945,1.38629436111989
TRUE,FALSE,TRUE,FALSE,0.639,0.639,0.667244173721925,0.667244173721925,"A",0.693147180559945,1.38629436111989
FALSE,FALSE,FALSE,FALSE,0.62375,0.6245,0.620733468215624,0.615182225687001,"A",0.693147180559945,1.38629436111989
FALSE,FALSE,FALSE,FALSE,0.6105,0.6105,0.62583155738972,0.624431769117025,"A",0.693147180559945,1.38629436111989
TRUE,FALSE,TRUE,FALSE,0.62425,0.62425,0.657199817425621,0.657199817425621,"A",0.693147180559945,1.38629436111989
TRUE,FALSE,TRUE,FALSE,0.6355,0.62775,0.625992748618785,0.588831584804032,"A",0.693147180559945,1.38629436111989
TRUE,TRUE,TRUE,TRUE,0.64125,0.64125,0.664875739484212,0.634015662462389,"A",0.693147180559945,1.38629436111989
TRUE,FALSE,TRUE,FALSE,0.62975,0.62975,0.652560506347323,0.652560506347323,"A",0.693147180559945,1.38629436111989
